mavpackettype,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz,Type,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
IMU,51394626,1,0.0007667143363505602,0.0003968185337726027,0.0009244696702808142,9.218982696533203,-0.06623780727386475,-3.380922317504883,0.0,0.0,28.14811897277832,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51414626,0,0.0007478878833353519,0.000876900739967823,0.0007585802813991904,9.21731948852539,-0.06555881351232529,-3.356576442718506,0.0,0.0,28.149242401123047,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51414626,1,0.0005949397454969585,0.0007933195447549224,0.000814961502328515,9.214709281921387,-0.06393709033727646,-3.357978343963623,0.0,0.0,28.149242401123047,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
GPS,51414626,0,,,,,,,,,,,,,,GPS,6.0,220512200.0,2412.0,10.0,1.21,-35.3632649,149.1652374,584.85,0.0020000000949949026,179.29054260253906,0.0,0.0,1.0
IMU,51434626,0,0.0007578590884804726,0.0007987204589881003,0.0007313875248655677,9.216772079467773,-0.06589148193597794,-3.355490207672119,0.0,0.0,28.150365829467773,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51434626,1,0.000720496813300997,0.0008462068508379161,0.0007379151647910476,9.216958045959473,-0.06611895561218262,-3.3546485900878906,0.0,0.0,28.150365829467773,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51454626,0,0.0007608362939208746,0.0007845572545193136,0.0007612195331603289,9.21741008758545,-0.06517355144023895,-3.355679512023926,0.0,0.0,28.1514892578125,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51454626,1,0.0007086230325512588,0.000704857287928462,0.0008188476203940809,9.21679973602295,-0.0646841749548912,-3.3566014766693115,0.0,0.0,28.1514892578125,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51474626,0,0.0007138059590943158,0.0008051297045312822,0.0007637753151357174,9.218128204345703,-0.06546923518180847,-3.35479736328125,0.0,0.0,28.152612686157227,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51474626,1,0.0006355353980325162,0.0007923532975837588,0.000778834568336606,9.217215538024902,-0.06766382604837418,-3.3567466735839844,0.0,0.0,28.152612686157227,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
